2021-12-10 16:09:30,936|Key.enter|release
2021-12-10 16:09:33,312|Key.shift|press
2021-12-10 16:09:33,458|'P'|press
2021-12-10 16:09:33,604|'P'|release
2021-12-10 16:09:33,620|Key.shift|release
2021-12-10 16:09:33,705|'o'|press
2021-12-10 16:09:33,819|'o'|release
2021-12-10 16:09:33,832|'r'|press
2021-12-10 16:09:33,919|'t'|press
2021-12-10 16:09:33,983|'r'|release
2021-12-10 16:09:34,042|'t'|release
2021-12-10 16:09:34,108|'e'|press
2021-12-10 16:09:34,210|'e'|release
2021-12-10 16:09:34,359|'z'|press
2021-12-10 16:09:34,475|'z'|release
2021-12-10 16:09:35,107|Key.space|press
2021-12-10 16:09:35,235|Key.space|release
2021-12-10 16:09:35,411|'c'|press
2021-12-10 16:09:35,507|'e'|press
2021-12-10 16:09:35,583|'c'|release
2021-12-10 16:09:35,608|Key.space|press
2021-12-10 16:09:35,634|'e'|release
2021-12-10 16:09:35,710|'v'|press
2021-12-10 16:09:35,718|Key.space|release
2021-12-10 16:09:35,790|'i'|press
2021-12-10 16:09:35,816|'v'|release
2021-12-10 16:09:35,875|'e'|press
2021-12-10 16:09:35,898|'i'|release
2021-12-10 16:09:35,992|'e'|release
2021-12-10 16:09:35,996|'u'|press
2021-12-10 16:09:36,122|'u'|release
2021-12-10 16:09:36,179|'x'|press
2021-12-10 16:09:36,335|'x'|release
2021-12-10 16:09:36,411|Key.space|press
2021-12-10 16:09:36,538|Key.space|release
2021-12-10 16:09:37,197|'w'|press
2021-12-10 16:09:37,294|'h'|press
2021-12-10 16:09:37,357|'w'|release
2021-12-10 16:09:37,403|'h'|release
2021-12-10 16:09:37,453|'i'|press
2021-12-10 16:09:37,561|'i'|release
2021-12-10 16:09:37,591|'s'|press
2021-12-10 16:09:37,696|'s'|release
2021-12-10 16:09:37,704|'k'|press
2021-12-10 16:09:37,842|'k'|release
2021-12-10 16:09:38,390|'y'|press
2021-12-10 16:09:38,516|'y'|release
2021-12-10 16:09:38,966|Key.space|press
2021-12-10 16:09:39,108|Key.space|release
2021-12-10 16:09:40,374|'a'|press
2021-12-10 16:09:40,453|'u'|press
2021-12-10 16:09:40,502|'a'|release
2021-12-10 16:09:40,592|'u'|release
2021-12-10 16:09:40,633|Key.space|press
2021-12-10 16:09:40,755|Key.space|release
2021-12-10 16:09:40,878|'j'|press
2021-12-10 16:09:41,012|'j'|release
2021-12-10 16:09:41,079|'u'|press
2021-12-10 16:09:41,203|'u'|release
2021-12-10 16:09:41,258|'g'|press
2021-12-10 16:09:41,370|'e'|press
2021-12-10 16:09:41,455|'g'|release
2021-12-10 16:09:41,517|'e'|release
2021-12-10 16:09:41,630|Key.space|press
2021-12-10 16:09:41,757|Key.space|release
2021-12-10 16:09:41,892|'b'|press
2021-12-10 16:09:42,010|'b'|release
2021-12-10 16:09:42,092|'l'|press
2021-12-10 16:09:42,214|'l'|release
2021-12-10 16:09:42,292|'o'|press
2021-12-10 16:09:42,423|'o'|release
2021-12-10 16:09:42,457|'n'|press
2021-12-10 16:09:42,576|'n'|release
2021-12-10 16:09:42,607|'d'|press
2021-12-10 16:09:42,703|Key.space|press
2021-12-10 16:09:42,753|'d'|release
2021-12-10 16:09:42,829|Key.space|release
2021-12-10 16:09:43,007|'q'|press
2021-12-10 16:09:43,117|'u'|press
2021-12-10 16:09:43,146|'q'|release
2021-12-10 16:09:43,248|'u'|release
2021-12-10 16:09:43,294|'i'|press
2021-12-10 16:09:43,444|'i'|release
2021-12-10 16:09:43,486|Key.space|press
2021-12-10 16:09:43,607|Key.space|release
2021-12-10 16:09:43,782|'f'|press
2021-12-10 16:09:43,901|'u'|press
2021-12-10 16:09:43,924|'f'|release
2021-12-10 16:09:44,047|'u'|release
2021-12-10 16:09:44,269|'m'|press
2021-12-10 16:09:44,457|'m'|release
2021-12-10 16:09:44,679|'e'|press
2021-12-10 16:09:44,798|'e'|release
2021-12-10 16:09:45,398|Key.shift|press
2021-12-10 16:09:45,520|'.'|press
2021-12-10 16:09:45,630|'.'|release
2021-12-10 16:09:45,678|Key.shift|release
2021-12-10 16:09:46,108|Key.enter|press
2021-12-10 16:09:46,221|Key.enter|release
2021-12-10 16:09:46,489|Key.shift|press
2021-12-10 16:09:46,576|'J'|press
2021-12-10 16:09:46,678|'J'|release
2021-12-10 16:09:46,681|Key.shift|release
2021-12-10 16:09:46,722|'o'|press
2021-12-10 16:09:46,882|'o'|release
2021-12-10 16:09:47,057|'y'|press
2021-12-10 16:09:47,189|'y'|release
2021-12-10 16:09:47,333|'e'|press
2021-12-10 16:09:47,456|'e'|release
2021-12-10 16:09:47,504|'u'|press
2021-12-10 16:09:47,626|'u'|release
2021-12-10 16:09:47,673|'x'|press
2021-12-10 16:09:47,796|'x'|release
2021-12-10 16:09:48,099|','|press
2021-12-10 16:09:48,251|','|release
2021-12-10 16:09:48,316|Key.space|press
2021-12-10 16:09:48,438|Key.space|release
2021-12-10 16:09:48,557|'i'|press
2021-12-10 16:09:48,676|'i'|release
2021-12-10 16:09:48,717|'v'|press
2021-12-10 16:09:48,814|'v'|release
2021-12-10 16:09:48,962|'r'|press
2021-12-10 16:09:49,083|'e'|press
2021-12-10 16:09:49,159|'r'|release
2021-12-10 16:09:49,209|'e'|release
2021-12-10 16:09:49,337|','|press
2021-12-10 16:09:49,466|','|release
2021-12-10 16:09:49,611|Key.space|press
2021-12-10 16:09:49,758|Key.space|release
2021-12-10 16:09:50,241|'f'|press
2021-12-10 16:09:50,356|'a'|press
2021-12-10 16:09:50,421|'f'|release
2021-12-10 16:09:50,479|'a'|release
2021-12-10 16:09:50,545|'t'|press
2021-12-10 16:09:50,653|'t'|release
2021-12-10 16:09:50,678|'i'|press
2021-12-10 16:09:50,770|'g'|press
2021-12-10 16:09:50,802|'i'|release
2021-12-10 16:09:50,891|'g'|release
2021-12-10 16:09:51,011|'u'|press
2021-12-10 16:09:51,154|'u'|release
2021-12-10 16:09:51,705|'é'|press
2021-12-10 16:09:51,822|'é'|release
2021-12-10 16:09:52,298|','|press
2021-12-10 16:09:52,430|','|release
2021-12-10 16:09:52,455|Key.space|press
2021-12-10 16:09:52,581|Key.space|release
2021-12-10 16:09:52,726|'l'|press
2021-12-10 16:09:52,830|'l'|release
2021-12-10 16:09:52,930|'e'|press
2021-12-10 16:09:52,993|'e'|release
2021-12-10 16:09:53,049|Key.space|press
2021-12-10 16:09:53,178|Key.space|release
2021-12-10 16:09:53,234|'n'|press
2021-12-10 16:09:53,337|'n'|release
