 2021-10-19 09:43:53,593 - 'a'
 2021-10-19 09:43:53,593 - 'z'
 2021-10-19 09:43:55,416 - Key.backspace
 2021-10-19 09:43:55,570 - Key.backspace
 2021-10-19 09:43:58,499 - 'k'
 2021-10-19 09:43:58,621 - 'h'
 2021-10-19 09:43:58,767 - 'd'
 2021-10-19 09:43:58,795 - 'k'
 2021-10-19 09:43:58,799 - 'i'
 2021-10-19 09:43:58,859 - 'h'
 2021-10-19 09:43:58,864 - 'v'
 2021-10-19 09:43:58,926 - 'v'
 2021-10-19 09:43:59,328 - 'd'
 2021-10-19 09:43:59,469 - 'k'
 2021-10-19 09:43:59,530 - 's'
 2021-10-19 09:43:59,595 - 'd'
 2021-10-19 09:43:59,599 - 'n'
 2021-10-19 09:43:59,688 - 'c'
 2021-10-19 09:43:59,716 - 'k'
 2021-10-19 09:43:59,749 - 's'
 2021-10-19 09:43:59,845 - 'd'
 2021-10-19 09:43:59,966 - 'l'
 2021-10-19 09:43:59,994 - 'k'
 2021-10-19 09:44:00,026 - 's'
 2021-10-19 09:44:00,059 - 'n'
 2021-10-19 09:44:00,176 - 'k'
 2021-10-19 09:44:00,176 - 'c'
 2021-10-19 09:44:00,204 - 'l'
 2021-10-19 09:44:00,348 - 'd'
 2021-10-19 09:44:00,437 - 'k'
 2021-10-19 09:44:00,437 - 'c'
 2021-10-19 09:44:00,535 - 'n'
 2021-10-19 09:44:00,632 - 'd'
 2021-10-19 09:44:00,661 - 'l'
 2021-10-19 09:44:00,693 - 'c'
 2021-10-19 09:44:00,856 - 'k'
 2021-10-19 09:44:00,883 - 'l'
 2021-10-19 09:44:00,887 - 'd'
 2021-10-19 09:44:00,974 - 'n'
 2021-10-19 09:44:01,095 - 'k'
 2021-10-19 09:44:01,160 - 'd'
 2021-10-19 09:44:01,221 - 'd'
 2021-10-19 09:44:01,706 - Key.enter
 2021-10-19 09:44:03,558 - 'd'
 2021-10-19 09:44:03,619 - 's'
 2021-10-19 09:44:03,745 - 'c'
 2021-10-19 09:44:03,873 - 's'
 2021-10-19 09:44:03,963 - 'd'
 2021-10-19 09:44:04,019 - 'c'
 2021-10-19 09:44:04,142 - 's'
 2021-10-19 09:44:04,237 - 'd'
 2021-10-19 09:44:04,302 - 'c'
 2021-10-19 09:44:04,392 - 's'
 2021-10-19 09:44:04,582 - 'l'
 2021-10-19 09:44:04,679 - 's'
 2021-10-19 09:44:04,952 - 's'
 2021-10-19 09:44:05,013 - 'm'
 2021-10-19 09:44:05,181 - 'c'
 2021-10-19 09:44:05,217 - 's'
 2021-10-19 09:44:05,481 - Key.enter
 2021-10-19 09:44:05,829 - 's'
 2021-10-19 09:44:05,922 - 'd'
 2021-10-19 09:44:05,978 - 'k'
 2021-10-19 09:44:06,101 - 'n'
 2021-10-19 09:44:06,129 - 's'
 2021-10-19 09:44:06,198 - 'l'
 2021-10-19 09:44:06,222 - 'd'
 2021-10-19 09:44:06,344 - 'k'
 2021-10-19 09:44:06,376 - 's'
 2021-10-19 09:44:06,572 - Key.enter
 2021-10-19 09:44:16,178 - 'j'
 2021-10-19 09:44:16,342 - 'j'
 2021-10-19 09:44:16,550 - 'j'
 2021-10-19 09:44:16,983 - 'f'
 2021-10-19 09:44:17,219 - 'd'
 2021-10-19 09:44:17,401 - 't'
 2021-10-19 09:44:17,534 - 'd'
 2021-10-19 09:44:17,799 - 'd'
 2021-10-19 09:44:17,900 - 'g'
 2021-10-19 09:44:18,058 - 'c'
 2021-10-19 09:44:18,183 - 'g'
 2021-10-19 09:44:18,304 - 'c'
 2021-10-19 09:44:18,425 - 'g'
 2021-10-19 09:44:18,563 - 'c'
 2021-10-19 09:51:00,898 - 'k'
 2021-10-19 09:51:01,014 - 'e'
 2021-10-19 09:51:01,080 - 'y'
 2021-10-19 09:51:01,268 - 'l'
 2021-10-19 09:51:01,433 - 'o'
 2021-10-19 09:51:01,936 - 'g'
 2021-10-19 09:51:02,056 - 'g'
 2021-10-19 09:51:02,116 - 'e'
 2021-10-19 09:51:02,240 - 'r'
 2021-10-19 09:51:03,193 - Key.right
 2021-10-19 09:51:03,350 - Key.right
 2021-10-19 09:51:03,627 - Key.right
 2021-10-19 09:51:03,815 - Key.right
 2021-10-19 09:51:04,015 - Key.backspace
 2021-10-19 09:51:04,166 - Key.backspace
 2021-10-19 09:51:04,311 - Key.backspace
 2021-10-19 09:51:04,935 - 'p'
 2021-10-19 09:51:05,123 - 'y'
 2021-10-19 09:51:05,397 - Key.enter
 2021-10-19 09:51:15,038 - 'k'
 2021-10-19 09:51:15,160 - 'e'
 2021-10-19 09:51:15,252 - 'y'
 2021-10-19 09:51:15,480 - 'l'
