|Key|Shift|HD_mean|HD_std|DL_mean|DL_std
0|Key.shift|1|1.5875454545454544|3.413766873186101|-1.3780413223140497|3.4068795213028347
1|'P'|1|0.0804|0.013544002362669609|0.123|0.02176235281397671
2|'o'|0|0.09131325301204817|0.0254704779312132|0.0956867469879518|0.20371033815825462
3|'r'|0|0.09387179487179487|0.022627053795072433|0.041987179487179484|0.10578673437141248
4|'t'|0|0.08609615384615385|0.01952932668044948|0.05836538461538462|0.12918189752410744
5|'e'|0|0.09116509433962264|0.0243067291810656|0.05700943396226414|0.1341933268370828
6|'z'|0|0.10843902439024392|0.027762976557654414|0.12519512195121954|0.2675527957484093
7|Key.space|0|0.08804507042253522|0.01965242191097249|0.18140281690140844|0.2472171389586126
8|'c'|0|0.10484848484848484|0.026467958000847343|0.012575757575757577|0.05178746209737146
9|'v'|0|0.10262162162162161|0.019521784576365424|0.014054054054054054|0.055155282487422255
10|'i'|0|0.07823899371069182|0.023540266350827146|0.08139622641509436|0.15937894477023784
11|'u'|0|0.0904873417721519|0.036047215405679324|0.04227848101265823|0.13389320670876462
12|'x'|0|0.10566666666666666|0.016131404843417147|0.13416666666666666|0.19978106071953422
13|'w'|0|0.10275000000000001|0.022367107546573825|0.08735|0.10609678364587685
14|'h'|0|0.096|0.025610544703305316|0.0024000000000000007|0.06764643375670294
15|'s'|0|0.08948936170212765|0.026944681187080818|0.14541489361702126|0.2783787565864279
16|'k'|0|0.09046153846153845|0.024094734134614382|0.12076923076923075|0.21455917378022885
17|'y'|0|0.07602|0.025697073763368466|0.11566000000000001|0.1644251331153483
18|'a'|0|0.09722413793103449|0.02348884041958728|0.05961206896551723|0.1551095703683603
19|'j'|0|0.07305|0.016258766865909602|0.10845|0.12875460185950638
20|'g'|0|0.10142424242424242|0.030848633684227487|-0.00039393939393939434|0.09679999354931715
21|'b'|0|0.10993103448275862|0.027956778259556007|-0.0036206896551724123|0.07027699569320181
22|'l'|0|0.0939879518072289|0.02413690568997679|0.05843373493975904|0.1014516553833703
23|'n'|0|0.10204301075268815|0.03008765473212318|0.03779569892473118|0.12015273068548285
24|'d'|0|0.11389230769230768|0.027995671685746258|0.03667692307692307|0.1484920207845741
25|'q'|0|0.09067391304347829|0.020800349440862856|0.06871739130434783|0.13270278379889894
26|'f'|0|0.09193333333333334|0.02925854101321907|0.05323333333333334|0.16816275515768117
27|'m'|0|0.09284210526315788|0.015893604002851145|0.04357894736842106|0.10137544381860078
28|'.'|1|0.07561290322580645|0.016947123496248155|4.355966666666668|11.377060547386082
29|Key.enter|0|0.10203703703703704|0.013876389437221885|0.3474814814814814|0.17443079289195562
30|'J'|1|0.087|0.012699831269970254|0.12414285714285714|0.05585677749241119
31|Key.backspace|0|0.09296086956521739|0.02406193528539712|0.3533521739130434|0.8217164815029178
32|','|0|0.13588235294117645|0.018802009757849188|-0.05235294117647059|0.020925473292758557
33|'é'|0|0.09872413793103445|0.0228396155407647|0.14093103448275862|0.18448510472243304
34|'p'|0|0.10064516129032257|0.030362910722699667|0.04851612903225806|0.1263088562184345
35|'C'|1|0.122|0.004|0.20939999999999998|0.19776612450063333
36|'H'|1|0.0899090909090909|0.015216346147569218|0.12236363636363635|0.1396718704856446
37|'('|0|0.031|0.0|-0.029|0.0
38|'|0|0.0843142857142857|0.018438734739008266|0.07014285714285715|0.10785099320216703
39|'M'|1|0.08718181818181817|0.016813512865431573|0.11499999999999999|0.083771333782126
40|'W'|1|0.1301|0.03443384962504193|0.1502|0.03762924394669656
41|'Y'|1|0.075|0.014142135623730949|0.2696|0.08997021729439138
42|'B'|1|0.0793|0.012907749610214786|0.13140000000000002|0.14757181302674305
43|'X'|1|0.0972|0.011513470371699404|0.5014|0.3743717938093093
44|'è'|0|0.05866666666666667|0.01712048805119501|0.16766666666666666|0.1501258731124578
45|'K'|1|0.0635|0.017942036302122082|0.1215|0.043828263331629584
46|'-'|0|0.07155555555555557|0.013849276845229228|0.3173333333333333|0.30461998183529154
47|'S'|1|0.10116666666666667|0.01500462891540104|0.1265|0.06074468426674607
48|'?'|1|0.11466666666666665|0.028522895287041872|0.3046666666666667|0.10078469901505663
49|'&'|0|0.10233333333333333|0.01322455628325158|0.103|0.04835976288885902
50|'D'|1|0.064|0.0|0.22|0.0
