|Key|Shift|HD_mean|HD_std|DL_mean|DL_std
0|Key.shift_r|0|0.20283823529411765|0.13920251965836952|-0.07286764705882354|0.1550459044370375
1|'P'|0|0.08233333333333333|0.006548960901462834|0.12366666666666666|0.028110891523077355
2|'o'|0|0.06624489795918367|0.014374766173423764|0.10457142857142857|0.09422443896335592
3|'r'|0|0.09047916666666667|0.018056611881493406|0.022604166666666665|0.06832298892738975
4|'t'|0|0.07745833333333334|0.016322221985855832|0.04500000000000001|0.1027719968344166
5|'e'|0|0.09563716814159291|0.02487528607809976|0.008247787610619466|0.1000663081907609
6|'z'|0|0.08566666666666667|0.02642074101072026|0.10141666666666667|0.2582806801180108
7|Key.space|0|0.080065|0.018872752184035058|0.08623000000000001|0.16983882683297125
8|'c'|0|0.08183333333333334|0.019250541117935702|0.023611111111111107|0.04402794426887553
9|'v'|0|0.08385000000000001|0.020117840341348774|0.034|0.07231666474610124
10|'i'|0|0.06926744186046511|0.012065156846680107|0.0633720930232558|0.08105238709475983
11|'u'|0|0.06808139534883721|0.011336517569833391|0.07038372093023257|0.09430210836438722
12|'x'|0|0.0783529411764706|0.020931094731131448|0.0391764705882353|0.032612223067825435
13|'w'|0|0.08223076923076925|0.017859080199218832|0.09623076923076924|0.11605711713578717
14|'h'|0|0.06758333333333334|0.011101488889133546|0.09750000000000002|0.09974342083566215
15|'s'|0|0.09008333333333333|0.025281608378863524|0.016708333333333335|0.07307329606102507
16|'k'|0|0.0665625|0.008062015489317792|0.0703125|0.04332539490587478
17|'y'|0|0.06929166666666668|0.012454849011083551|0.07270833333333333|0.130322509940617
18|'a'|0|0.08932307692307691|0.01715908164326508|0.03201538461538461|0.09345677607366329
19|'j'|0|0.06666666666666667|0.00924962461700774|0.05466666666666667|0.023949019928914742
20|'g'|0|0.0771578947368421|0.02079793298913377|0.06294736842105261|0.15886355406091185
21|'b'|0|0.08153333333333332|0.022443608345262923|0.021333333333333336|0.054704864703444996
22|'l'|0|0.06804166666666667|0.021219054264714272|0.0674375|0.06314497415009897
23|'n'|0|0.06633333333333333|0.009361302629875|0.042784313725490186|0.04601249349755304
24|'d'|0|0.09383333333333335|0.03011321230881148|0.0009444444444444451|0.036335584367917145
25|'q'|0|0.07468|0.01754245136803862|0.025960000000000004|0.07954243144385266
26|'f'|0|0.0771111111111111|0.02171760394213999|0.008777777777777777|0.04326989658662572
27|'m'|0|0.06847619047619047|0.014476973663024648|0.043095238095238096|0.04303697719282445
28|'.'|0|0.06541176470588236|0.008575332773713844|3.4256470588235293|12.146024965546045
29|Key.enter|0|0.06576470588235295|0.015394916700249225|4.6546875000000005|16.36408613289614
30|'J'|0|0.062333333333333324|0.011234866364235143|0.08588888888888888|0.03595195696866226
31|','|0|0.06416666666666666|0.012699300068201485|0.06146666666666666|0.037033978392221854
32|'é'|0|0.08320000000000001|0.016998823488700618|0.06746666666666666|0.05421176584059548
33|'p'|0|0.07220000000000001|0.00861742420912421|0.1336|0.17885284453986192
34|Key.backspace|0|0.06471875|0.010872081145645484|0.21487499999999998|0.28428581018932336
35|'C'|0|0.07366666666666667|0.008178562764256866|0.18733333333333335|0.22536834047596147
36|'H'|0|0.072625|0.01791603681063421|0.29537500000000005|0.3679191274927141
37|'|0|0.082|0.017688665548562132|0.007500000000000001|0.03851442731121821
38|'M'|0|0.07233333333333335|0.012174654911833116|0.07383333333333333|0.030926885103776978
39|'V'|0|0.064|0.0|0.331|0.0
40|'W'|0|0.06866666666666667|0.020311463648776163|0.04583333333333334|0.02623875420484407
41|';'|0|0.08|0.0|-0.076|0.0
42|'Y'|0|0.08566666666666667|0.011614167593456228|0.22366666666666668|0.09016404802112399
43|'B'|0|0.06566666666666666|0.019618585292749548|0.11883333333333333|0.15220536200220483
44|'X'|0|0.083|0.014764823060233403|0.02666666666666666|0.03147838764754143
45|'è'|0|0.067|0.005099019513592784|0.03066666666666666|0.01281492185782739
46|'K'|0|0.06666666666666667|0.019686430746977866|0.3813333333333333|0.20507938842203413
47|'S'|0|0.08933333333333333|0.018873850222522755|0.05100000000000001|0.08141662401909493
48|'-'|0|0.07828571428571429|0.0088109393972053|0.24057142857142857|0.16059519397083655
49|'E'|0|0.068|0.0|0.128|0.0
