|Key|Shift|HD_mean|HD_std|DL_mean|DL_std
0|Key.shift_r|0|0.28556250000000005|0.23727376560367985|-0.13321875|0.20896123061093771
1|'P'|0|0.136|0.008041558721209874|0.07066666666666667|0.006128258770283411
2|'o'|0|0.09815555555555557|0.01971119879724953|0.1772222222222222|0.2849569861410969
3|'r'|0|0.12291111111111112|0.018165684648959207|0.10682222222222221|0.1845872619764176
4|'t'|0|0.11152|0.011374075786629875|0.08724|0.15474140493093633
5|'e'|0|0.11400877192982459|0.018916017353738376|0.12158771929824563|0.3216166621819274
6|'z'|0|0.10858333333333332|0.013253668255325476|0.18270833333333333|0.2289928090513373
7|Key.space|0|0.10890049751243783|0.01289104937471489|0.19104975124378107|0.25317397615361387
8|'c'|0|0.11500000000000002|0.010381607668264962|0.02555555555555556|0.07573801498309979
9|'v'|0|0.10827777777777778|0.016821961688867577|0.05494444444444445|0.12107136197861997
10|'i'|0|0.10467073170731703|0.021731765486768938|0.09310975609756096|0.20098452835112923
11|'u'|0|0.10291463414634144|0.016608990527108073|0.03748780487804878|0.09704641131355644
12|'x'|0|0.10321428571428573|0.007252374699056179|0.2772857142857143|0.22850708915899823
13|'w'|0|0.11416666666666668|0.008914719413544225|0.15366666666666667|0.16714331840934857
14|'h'|0|0.09958333333333334|0.00583749851296674|0.06875|0.05375581363908465
15|'s'|0|0.10906249999999999|0.009421620194177503|0.19497916666666668|0.3670734196306041
16|'k'|0|0.09173333333333335|0.005709251750935105|0.29186666666666666|0.35989273710679714
17|'y'|0|0.08991666666666666|0.007029204949510451|0.2954583333333333|0.2924615329644035
18|'a'|0|0.114|0.010319149600856094|0.11721212121212121|0.299566834509304
19|'j'|0|0.09933333333333333|0.008550503558920442|0.041444444444444443|0.03374779370932141
20|'g'|0|0.11031578947368421|0.01709124932016673|0.033842105263157896|0.07880172530698386
21|'b'|0|0.09306666666666667|0.004138706185378337|0.07013333333333334|0.057360691147238525
22|'l'|0|0.09819999999999998|0.016477863939236784|0.18700000000000003|0.22354650522877784
23|'n'|0|0.1059433962264151|0.020117968214246183|0.09130188679245282|0.14343529011115153
24|'d'|0|0.12125714285714288|0.018244909829699833|0.04705714285714286|0.16218454089746792
25|'q'|0|0.11347826086956524|0.010375009964237819|0.02565217391304347|0.08663446883848412
26|'f'|0|0.1097777777777778|0.006570604196432231|0.0505|0.1473375753537132
27|'m'|0|0.09271428571428572|0.014152714217700117|0.0952857142857143|0.06831171053280957
28|'.'|0|0.12444444444444445|0.011151592921702171|1.3588235294117648|5.088847081207781
29|Key.enter|0|0.08906249999999999|0.006599893465049264|3.6319375000000003|11.29564891046963
30|'J'|0|0.12322222222222222|0.011932940196296767|0.10044444444444446|0.07133506401500381
31|','|0|0.1167|0.015828560684197832|-0.056833333333333326|0.009702519718551923
32|'é'|0|0.10321428571428574|0.008221735751987544|0.23792857142857143|0.3344960952763157
33|'p'|0|0.1048|0.021268756428150657|0.049550000000000004|0.1573856648491215
34|'C'|0|0.11466666666666668|0.0016996731711975963|0.06666666666666667|0.019601587237318873
35|'H'|0|0.1105|0.018099263336758584|0.12033333333333333|0.030125662740520007
36|'|0|0.09916666666666668|0.007566372975210778|0.09633333333333334|0.10795112062616323
37|'M'|0|0.12633333333333333|0.012378296418418094|0.2095|0.11389578569903278
38|'W'|0|0.11183333333333334|0.0013437096247164262|0.08366666666666667|0.03879289740260308
39|'1'|0|0.11|0.0|0.056|0.0
40|'0'|0|0.128|0.0|1.176|0.0
41|'Y'|0|0.104|0.004082482904638628|0.3083333333333333|0.06115190557583269
42|'B'|0|0.09966666666666667|0.005990733585203809|0.2525|0.20062714173311644
43|'X'|0|0.11133333333333333|0.005312459150169741|0.7286666666666667|0.14585914057366747
44|'è'|0|0.09833333333333334|0.005436502143433362|0.039|0.005715476066494082
45|'K'|0|0.13533333333333333|0.003399346342395193|0.08366666666666667|0.014055445761538672
46|'S'|0|0.11266666666666668|0.0024944382578492965|0.07166666666666667|0.0032998316455372196
47|'-'|0|0.08680000000000002|0.004915282290977801|0.43920000000000003|0.2889265650645506
48|Key.backspace|0|0.086|0.005320497374089409|0.43623076923076926|0.3029646219118291
49|'I'|0|0.101|0.0|0.184|0.0
50|'_'|0|0.1|0.0|0.741|0.0
