|Timestamp|Key|Action|Shift
0|2021-11-20 14:24:55.221|Key.shift|press|1
1|2021-11-20 14:24:55.432|'P'|press|1
2|2021-11-20 14:24:55.522|'P'|release|1
3|2021-11-20 14:24:55.554|Key.shift|release|0
4|2021-11-20 14:24:55.643|'o'|press|0
5|2021-11-20 14:24:55.732|'o'|release|0
6|2021-11-20 14:24:55.762|'r'|press|0
7|2021-11-20 14:24:55.821|'r'|release|0
8|2021-11-20 14:24:55.891|'t'|press|0
9|2021-11-20 14:24:55.987|'t'|release|0
10|2021-11-20 14:24:56.030|'e'|press|0
11|2021-11-20 14:24:56.127|'e'|release|0
12|2021-11-20 14:24:56.412|'z'|press|0
13|2021-11-20 14:24:56.506|'z'|release|0
14|2021-11-20 14:24:56.556|Key.space|press|0
15|2021-11-20 14:24:56.653|Key.space|release|0
16|2021-11-20 14:24:56.741|'c'|press|0
17|2021-11-20 14:24:56.862|'e'|press|0
18|2021-11-20 14:24:56.924|'c'|release|0
19|2021-11-20 14:24:56.954|'e'|release|0
20|2021-11-20 14:24:57.025|Key.space|press|0
21|2021-11-20 14:24:57.117|Key.space|release|0
22|2021-11-20 14:24:57.250|'v'|press|0
23|2021-11-20 14:24:57.342|'i'|press|0
24|2021-11-20 14:24:57.374|'v'|release|0
25|2021-11-20 14:24:57.404|'i'|release|0
26|2021-11-20 14:24:57.433|'e'|press|0
27|2021-11-20 14:24:57.526|'e'|release|0
28|2021-11-20 14:24:57.527|'u'|press|0
29|2021-11-20 14:24:57.590|'u'|release|0
30|2021-11-20 14:24:57.621|'x'|press|0
31|2021-11-20 14:24:57.714|'x'|release|0
32|2021-11-20 14:24:57.715|Key.space|press|0
33|2021-11-20 14:24:57.813|Key.space|release|0
34|2021-11-20 14:24:58.154|'w'|press|0
35|2021-11-20 14:24:58.246|'w'|release|0
36|2021-11-20 14:24:58.276|'h'|press|0
37|2021-11-20 14:24:58.339|'i'|press|0
38|2021-11-20 14:24:58.370|'h'|release|0
39|2021-11-20 14:24:58.399|'i'|release|0
40|2021-11-20 14:24:58.401|'s'|press|0
41|2021-11-20 14:24:58.493|'s'|release|0
42|2021-11-20 14:24:58.535|'k'|press|0
43|2021-11-20 14:24:58.629|'k'|release|0
44|2021-11-20 14:24:58.702|'y'|press|0
45|2021-11-20 14:24:58.797|'y'|release|0
46|2021-11-20 14:24:59.182|Key.space|press|0
