|Timestamp|Key|Action|Shift
0|2021-11-24 19:59:32.177|Key.enter|release|0
1|2021-11-24 19:59:33.023|Key.shift_r|press|0
2|2021-11-24 19:59:33.109|'P'|press|0
3|2021-11-24 19:59:33.229|Key.shift_r|release|0
4|2021-11-24 19:59:33.256|'p'|release|0
5|2021-11-24 19:59:33.331|'o'|press|0
6|2021-11-24 19:59:33.422|'o'|release|0
7|2021-11-24 19:59:33.531|'r'|press|0
8|2021-11-24 19:59:33.645|'r'|release|0
9|2021-11-24 19:59:33.710|'t'|press|0
10|2021-11-24 19:59:33.811|'t'|release|0
11|2021-11-24 19:59:33.998|'e'|press|0
12|2021-11-24 19:59:34.108|'z'|press|0
13|2021-11-24 19:59:34.154|'e'|release|0
14|2021-11-24 19:59:34.237|'z'|release|0
15|2021-11-24 19:59:34.750|Key.space|press|0
16|2021-11-24 19:59:34.840|Key.space|release|0
17|2021-11-24 19:59:34.870|'c'|press|0
18|2021-11-24 19:59:34.949|'e'|press|0
19|2021-11-24 19:59:34.993|'c'|release|0
20|2021-11-24 19:59:35.035|Key.space|press|0
21|2021-11-24 19:59:35.058|'e'|release|0
22|2021-11-24 19:59:35.154|Key.space|release|0
23|2021-11-24 19:59:35.173|'v'|press|0
24|2021-11-24 19:59:35.276|'i'|press|0
25|2021-11-24 19:59:35.285|'v'|release|0
26|2021-11-24 19:59:35.370|'e'|press|0
27|2021-11-24 19:59:35.381|'i'|release|0
28|2021-11-24 19:59:35.476|'e'|release|0
29|2021-11-24 19:59:35.497|'u'|press|0
30|2021-11-24 19:59:35.593|'u'|release|0
31|2021-11-24 19:59:35.636|'x'|press|0
32|2021-11-24 19:59:35.747|'x'|release|0
33|2021-11-24 19:59:36.331|Key.space|press|0
34|2021-11-24 19:59:36.438|Key.space|release|0
35|2021-11-24 19:59:36.971|'w'|press|0
36|2021-11-24 19:59:37.085|'w'|release|0
37|2021-11-24 19:59:37.133|'h'|press|0
38|2021-11-24 19:59:37.233|'h'|release|0
39|2021-11-24 19:59:37.306|'i'|press|0
40|2021-11-24 19:59:37.396|'i'|release|0
41|2021-11-24 19:59:37.609|'s'|press|0
42|2021-11-24 19:59:37.710|'s'|release|0
43|2021-11-24 19:59:37.725|'k'|press|0
44|2021-11-24 19:59:37.811|'k'|release|0
45|2021-11-24 19:59:37.915|'y'|press|0
46|2021-11-24 19:59:37.998|'y'|release|0
47|2021-11-24 19:59:38.913|Key.space|press|0
48|2021-11-24 19:59:39.027|Key.space|release|0
49|2021-11-24 19:59:39.328|'a'|press|0
50|2021-11-24 19:59:39.428|'u'|press|0
51|2021-11-24 19:59:39.436|'a'|release|0
52|2021-11-24 19:59:39.524|'u'|release|0
53|2021-11-24 19:59:39.553|Key.space|press|0
54|2021-11-24 19:59:39.675|Key.space|release|0
55|2021-11-24 19:59:39.714|'j'|press|0
56|2021-11-24 19:59:39.831|'j'|release|0
57|2021-11-24 19:59:39.883|'u'|press|0
58|2021-11-24 19:59:39.976|'u'|release|0
59|2021-11-24 19:59:40.086|'g'|press|0
60|2021-11-24 19:59:40.181|'g'|release|0
61|2021-11-24 19:59:40.235|'e'|press|0
62|2021-11-24 19:59:40.339|'e'|release|0
63|2021-11-24 19:59:40.462|Key.space|press|0
64|2021-11-24 19:59:40.564|Key.space|release|0
65|2021-11-24 19:59:41.120|'b'|press|0
66|2021-11-24 19:59:41.218|'b'|release|0
67|2021-11-24 19:59:41.337|'l'|press|0
68|2021-11-24 19:59:41.425|'l'|release|0
69|2021-11-24 19:59:41.508|'o'|press|0
70|2021-11-24 19:59:41.571|'n'|press|0
71|2021-11-24 19:59:41.627|'o'|release|0
72|2021-11-24 19:59:41.710|'n'|release|0
73|2021-11-24 19:59:41.778|'d'|press|0
74|2021-11-24 19:59:41.868|Key.space|press|0
75|2021-11-24 19:59:41.877|'d'|release|0
76|2021-11-24 19:59:41.971|Key.space|release|0
77|2021-11-24 19:59:41.981|'q'|press|0
78|2021-11-24 19:59:42.090|'q'|release|0
79|2021-11-24 19:59:42.095|'u'|press|0
80|2021-11-24 19:59:42.144|'i'|press|0
81|2021-11-24 19:59:42.223|'u'|release|0
