|Key|Shift|HD_mean|HD_std|DL_mean|DL_std
0|Key.shift|1|0.2530481927710843|0.18725994455324216|-0.09320481927710843|0.22832853939988626
1|'P'|1|0.0622|0.014783774890061066|0.1422|0.02883331406550416
2|'o'|0|0.07285526315789474|0.010360227526672958|0.20128947368421052|0.2896028049346877
3|'r'|0|0.06938961038961036|0.011595068190472629|0.10950649350649354|0.11770154015660529
4|'t'|0|0.06470731707317073|0.010277239599109938|0.05978048780487804|0.06274513379056731
5|'e'|0|0.07057671957671958|0.012112815716535046|0.14072486772486772|0.22660346566510742
6|'z'|0|0.06217073170731708|0.00913022971159848|0.13904878048780486|0.1338255054656882
7|Key.space|0|0.0735731343283582|0.014214136143128385|0.20352238805970152|0.2009097932435421
8|'c'|0|0.07238709677419354|0.01075737532250987|0.0783225806451613|0.10874396893822225
9|'v'|0|0.06670967741935484|0.011526109346615417|0.05490322580645161|0.05669974958055281
10|'i'|0|0.07065753424657537|0.010382043478851952|0.11447945205479451|0.2334398581776495
11|'u'|0|0.07107692307692308|0.010868622266557238|0.08874125874125875|0.05875963998122575
12|'x'|0|0.06937037037037036|0.0074642265266136945|0.32366666666666655|0.4166782220619896
13|'w'|0|0.06340909090909091|0.0075236541587732795|0.1509090909090909|0.13461355770261543
14|'h'|0|0.07|0.01037917495407379|0.108|0.05793256267576827
15|'y'|0|0.06393478260869565|0.010296479292569195|0.23997826086956522|0.28597487645279757
16|Key.backspace|0|0.07219402985074627|0.015027575455102873|38.155469696969696|292.88519680999735
17|'s'|0|0.06967441860465116|0.01001561787440822|0.23074418604651165|0.37131169712208945
18|'k'|0|0.07239999999999999|0.011689311356961963|0.23287999999999998|0.2804622356040114
19|'a'|0|0.08448148148148148|0.011314920894210864|0.07684259259259259|0.09359567911412374
20|'j'|0|0.06353333333333332|0.013455440865645723|0.08393333333333335|0.046057162550706736
21|'g'|0|0.06893548387096776|0.010298560763433254|0.1005483870967742|0.06665454451010941
22|'b'|0|0.06944827586206896|0.008624688727602756|0.07313793103448275|0.0771365668185133
23|'l'|0|0.07691358024691357|0.011766448986407633|0.1458395061728395|0.22623354352756822
24|'n'|0|0.07381395348837208|0.011035367695907695|0.0697325581395349|0.0732589266595982
25|'d'|0|0.0700983606557377|0.019614067315496104|0.09155737704918034|0.06928570561779822
26|'q'|0|0.08033333333333333|0.011308796969124913|0.03809523809523809|0.07072744786917005
27|'f'|0|0.06603225806451614|0.003955264935196663|0.18735483870967742|0.34402077472781906
28|'m'|0|0.0748888888888889|0.011618418753039829|0.1081388888888889|0.10468183350243776
29|Key.shift_r|0|0.28126666666666666|0.08033551864247568|-0.0764|0.017792507786518835
30|'.'|0|0.06746666666666666|0.01356646191491683|10.24963333333333|53.08272486379684
31|Key.enter|0|0.04306896551724138|0.010891094224760157|1.4556206896551724|0.9525479230877755
32|'J'|1|0.058866666666666685|0.01005230763998441|0.1752|0.10628025843651931
33|','|0|0.0755|0.010665364503850767|0.14662499999999998|0.15369174031699512
34|'é'|0|0.06576|0.00752744312499271|0.17416|0.13423402847266414
35|'p'|0|0.07716666666666666|0.012886901187726325|0.11726666666666664|0.0852498028671556
36|'C'|1|0.0646|0.007391887445030533|0.0498|0.02370991353843367
37|'H'|1|0.05522222222222222|0.015302706933943842|0.15366666666666665|0.08019975062305369
38|'|0|0.06749999999999999|0.00912779637517548|0.09606666666666669|0.0498176229416414
39|'M'|1|0.057499999999999996|0.010929318368498562|0.1157|0.01859596730476799
40|'W'|1|0.0673|0.013638548309845882|0.10790000000000002|0.09490463634617648
41|'Y'|1|0.0675|0.0018027756377319963|0.17275000000000001|0.012457427503300993
42|'B'|1|0.057874999999999996|0.010385536818094674|0.353375|0.21706504641466345
43|'X'|1|0.063375|0.016770043977282826|0.391875|0.24881943126492354
44|'è'|0|0.0744|0.011534296684236967|0.0528|0.011702991070662234
45|'K'|1|0.0622|0.0071944422994419804|0.1036|0.01342534915747073
46|'S'|1|0.07566666666666667|0.020377002287437232|0.2753333333333334|0.19728715675943587
47|'-'|0|0.06780000000000001|0.005325410782277739|0.37839999999999996|0.26007929560039955
