|Timestamp|Key|Action|Shift
0|2021-11-20 10:45:45.858|Key.enter|release|0
1|2021-11-20 10:45:48.345|Key.shift|press|1
2|2021-11-20 10:45:48.625|'P'|press|1
3|2021-11-20 10:45:48.702|'P'|release|1
4|2021-11-20 10:45:48.743|Key.shift|release|0
5|2021-11-20 10:45:48.888|'o'|press|0
6|2021-11-20 10:45:48.990|'o'|release|0
7|2021-11-20 10:45:49.004|'r'|press|0
8|2021-11-20 10:45:49.081|'r'|release|0
9|2021-11-20 10:45:49.199|'t'|press|0
10|2021-11-20 10:45:49.270|'t'|release|0
11|2021-11-20 10:45:49.421|'e'|press|0
12|2021-11-20 10:45:49.528|'z'|press|0
13|2021-11-20 10:45:49.570|'e'|release|0
14|2021-11-20 10:45:49.613|Key.space|press|0
15|2021-11-20 10:45:49.649|'z'|release|0
16|2021-11-20 10:45:49.693|Key.space|release|0
17|2021-11-20 10:45:49.745|'c'|press|0
18|2021-11-20 10:45:49.825|'c'|release|0
19|2021-11-20 10:45:49.906|'e'|press|0
20|2021-11-20 10:45:49.946|Key.space|press|0
21|2021-11-20 10:45:49.988|'e'|release|0
22|2021-11-20 10:45:50.030|Key.space|release|0
23|2021-11-20 10:45:50.110|'v'|press|0
24|2021-11-20 10:45:50.194|'v'|release|0
25|2021-11-20 10:45:50.207|'i'|press|0
26|2021-11-20 10:45:50.300|'i'|release|0
27|2021-11-20 10:45:50.307|'e'|press|0
28|2021-11-20 10:45:50.369|'e'|release|0
29|2021-11-20 10:45:50.405|'u'|press|0
30|2021-11-20 10:45:50.491|'u'|release|0
31|2021-11-20 10:45:50.603|Key.space|press|0
32|2021-11-20 10:45:50.655|Key.space|release|0
33|2021-11-20 10:45:50.825|Key.backspace|press|0
34|2021-11-20 10:45:50.877|'x'|press|0
35|2021-11-20 10:45:50.904|Key.backspace|release|0
36|2021-11-20 10:45:50.952|Key.space|press|0
37|2021-11-20 10:45:50.969|'x'|release|0
38|2021-11-20 10:45:51.026|Key.space|release|0
39|2021-11-20 10:45:51.669|'w'|press|0
40|2021-11-20 10:45:51.762|'w'|release|0
41|2021-11-20 10:45:51.862|'h'|press|0
42|2021-11-20 10:45:51.929|'h'|release|0
43|2021-11-20 10:45:52.029|'i'|press|0
44|2021-11-20 10:45:52.076|'s'|press|0
45|2021-11-20 10:45:52.124|'i'|release|0
46|2021-11-20 10:45:52.152|'s'|release|0
47|2021-11-20 10:45:52.226|'k'|press|0
48|2021-11-20 10:45:52.313|'k'|release|0
49|2021-11-20 10:45:52.683|'y'|press|0
50|2021-11-20 10:45:52.757|'y'|release|0
51|2021-11-20 10:45:52.789|Key.space|press|0
52|2021-11-20 10:45:52.873|Key.space|release|0
53|2021-11-20 10:45:53.173|'a'|press|0
54|2021-11-20 10:45:53.250|'a'|release|0
55|2021-11-20 10:45:53.257|'u'|press|0
56|2021-11-20 10:45:53.347|'u'|release|0
57|2021-11-20 10:45:53.351|Key.space|press|0
58|2021-11-20 10:45:53.424|Key.space|release|0
59|2021-11-20 10:45:53.464|'j'|press|0
60|2021-11-20 10:45:53.541|'j'|release|0
61|2021-11-20 10:45:53.612|'u'|press|0
62|2021-11-20 10:45:53.705|'u'|release|0
63|2021-11-20 10:45:53.713|'g'|press|0
64|2021-11-20 10:45:53.786|'g'|release|0
65|2021-11-20 10:45:53.883|'e'|press|0
66|2021-11-20 10:45:53.939|Key.space|press|0
67|2021-11-20 10:45:53.971|'e'|release|0
68|2021-11-20 10:45:54.013|Key.space|release|0
69|2021-11-20 10:45:54.097|'b'|press|0
70|2021-11-20 10:45:54.153|'l'|press|0
71|2021-11-20 10:45:54.179|'b'|release|0
72|2021-11-20 10:45:54.220|'l'|release|0
73|2021-11-20 10:45:54.294|'o'|press|0
74|2021-11-20 10:45:54.374|'o'|release|0
75|2021-11-20 10:45:54.455|'n'|press|0
76|2021-11-20 10:45:54.483|'d'|press|0
77|2021-11-20 10:45:54.537|'n'|release|0
78|2021-11-20 10:45:54.542|Key.space|press|0
79|2021-11-20 10:45:54.575|'d'|release|0
80|2021-11-20 10:45:54.609|Key.space|release|0
81|2021-11-20 10:45:54.616|'q'|press|0
82|2021-11-20 10:45:54.681|'q'|release|0
83|2021-11-20 10:45:54.685|'u'|press|0
84|2021-11-20 10:45:54.755|'u'|release|0
85|2021-11-20 10:45:54.843|'i'|press|0
86|2021-11-20 10:45:54.880|Key.space|press|0
87|2021-11-20 10:45:54.928|'i'|release|0
88|2021-11-20 10:45:54.953|Key.space|release|0
89|2021-11-20 10:45:55.012|'f'|press|0
90|2021-11-20 10:45:55.033|'u'|press|0
91|2021-11-20 10:45:55.082|'f'|release|0
92|2021-11-20 10:45:55.107|'u'|release|0
93|2021-11-20 10:45:55.251|'m'|press|0
94|2021-11-20 10:45:55.288|'e'|press|0
95|2021-11-20 10:45:55.330|'m'|release|0
96|2021-11-20 10:45:55.355|'e'|release|0
97|2021-11-20 10:45:55.413|Key.shift|press|1
98|2021-11-20 10:45:55.450|'.'|press|1
99|2021-11-20 10:45:55.531|'.'|release|1
100|2021-11-20 10:45:55.563|Key.shift|release|0
101|2021-11-20 10:45:55.907|Key.enter|press|0
102|2021-11-20 10:45:55.987|Key.enter|release|0
103|2021-11-20 10:45:56.332|Key.shift|press|1
104|2021-11-20 10:45:56.462|'J'|press|1
105|2021-11-20 10:45:56.555|'J'|release|1
106|2021-11-20 10:45:56.590|Key.shift|release|0
107|2021-11-20 10:45:56.708|'o'|press|0
108|2021-11-20 10:45:56.742|'y'|press|0
109|2021-11-20 10:45:56.765|'o'|release|0
110|2021-11-20 10:45:56.822|'y'|release|0
111|2021-11-20 10:45:57.017|'u'|press|0
112|2021-11-20 10:45:57.113|'u'|release|0
113|2021-11-20 10:45:57.251|Key.backspace|press|0
114|2021-11-20 10:45:57.351|Key.backspace|release|0
115|2021-11-20 10:45:57.368|'e'|press|0
116|2021-11-20 10:45:57.429|'e'|release|0
117|2021-11-20 10:45:57.445|'u'|press|0
118|2021-11-20 10:45:57.532|'u'|release|0
119|2021-11-20 10:45:57.568|'x'|press|0
120|2021-11-20 10:45:57.652|'x'|release|0
121|2021-11-20 10:45:57.684|','|press|0
122|2021-11-20 10:45:57.794|','|release|0
123|2021-11-20 10:45:57.998|Key.space|press|0
124|2021-11-20 10:45:58.082|Key.space|release|0
125|2021-11-20 10:45:58.092|'i'|press|0
126|2021-11-20 10:45:58.151|'v'|press|0
127|2021-11-20 10:45:58.177|'i'|release|0
128|2021-11-20 10:45:58.251|'v'|release|0
129|2021-11-20 10:45:58.347|'r'|press|0
130|2021-11-20 10:45:58.408|'r'|release|0
131|2021-11-20 10:45:58.498|'e'|press|0
132|2021-11-20 10:45:58.563|'e'|release|0
133|2021-11-20 10:45:58.579|','|press|0
134|2021-11-20 10:45:58.666|','|release|0
135|2021-11-20 10:45:58.734|'f'|press|0
136|2021-11-20 10:45:58.807|'f'|release|0
137|2021-11-20 10:45:59.076|Key.backspace|press|0
138|2021-11-20 10:45:59.146|Key.backspace|release|0
