;Timestamp;Key;Action;Shift
0;2021-11-03 10:01:41.752;Key.enter;release;0
1;2021-11-03 10:01:58.027;Key.shift;press;1
2;2021-11-03 10:01:58.168;'P';press;1
3;2021-11-03 10:01:58.302;'P';release;1
4;2021-11-03 10:01:58.314;Key.shift;release;0
5;2021-11-03 10:01:58.491;'o';press;0
6;2021-11-03 10:01:58.607;'o';release;0
7;2021-11-03 10:01:58.660;'r';press;0
8;2021-11-03 10:01:58.773;'t';press;0
9;2021-11-03 10:01:58.825;'r';release;0
10;2021-11-03 10:01:58.905;'t';release;0
11;2021-11-03 10:01:59.254;'e';press;0
12;2021-11-03 10:01:59.397;'e';release;0
13;2021-11-03 10:01:59.707;'z';press;0
14;2021-11-03 10:01:59.837;'z';release;0
15;2021-11-03 10:01:59.927;Key.space;press;0
16;2021-11-03 10:02:00.073;Key.space;release;0
17;2021-11-03 10:02:00.161;'c';press;0
18;2021-11-03 10:02:00.282;'e';press;0
19;2021-11-03 10:02:00.346;'c';release;0
20;2021-11-03 10:02:00.382;Key.space;press;0
21;2021-11-03 10:02:00.392;'e';release;0
22;2021-11-03 10:02:00.496;'v';press;0
23;2021-11-03 10:02:00.510;Key.space;release;0
24;2021-11-03 10:02:00.604;'i';press;0
25;2021-11-03 10:02:00.631;'v';release;0
26;2021-11-03 10:02:00.730;'e';press;0
27;2021-11-03 10:02:00.751;'i';release;0
28;2021-11-03 10:02:00.848;'e';release;0
29;2021-11-03 10:02:00.916;'u';press;0
30;2021-11-03 10:02:01.040;'u';release;0
31;2021-11-03 10:02:01.164;'x';press;0
32;2021-11-03 10:02:01.285;'x';release;0
33;2021-11-03 10:02:01.302;Key.space;press;0
34;2021-11-03 10:02:01.435;Key.space;release;0
35;2021-11-03 10:02:02.286;'w';press;0
36;2021-11-03 10:02:02.366;'h';press;0
37;2021-11-03 10:02:02.402;'w';release;0
38;2021-11-03 10:02:02.486;'h';release;0
39;2021-11-03 10:02:02.525;'i';press;0
40;2021-11-03 10:02:02.612;'s';press;0
41;2021-11-03 10:02:02.629;'i';release;0
42;2021-11-03 10:02:02.718;'s';release;0
43;2021-11-03 10:02:02.875;'k';press;0
44;2021-11-03 10:02:02.997;'k';release;0
45;2021-11-03 10:02:03.043;'y';press;0
46;2021-11-03 10:02:03.174;'y';release;0
47;2021-11-03 10:02:03.186;Key.space;press;0
48;2021-11-03 10:02:03.296;Key.space;release;0
49;2021-11-03 10:02:03.643;'a';press;0
50;2021-11-03 10:02:03.797;'a';release;0
51;2021-11-03 10:02:03.887;'u';press;0
52;2021-11-03 10:02:04.049;'u';release;0
