2021-11-20 14:24:55,221|Key.shift|press
2021-11-20 14:24:55,432|'P'|press
2021-11-20 14:24:55,522|'P'|release
2021-11-20 14:24:55,554|Key.shift|release
2021-11-20 14:24:55,643|'o'|press
2021-11-20 14:24:55,732|'o'|release
2021-11-20 14:24:55,762|'r'|press
2021-11-20 14:24:55,821|'r'|release
2021-11-20 14:24:55,891|'t'|press
2021-11-20 14:24:55,987|'t'|release
2021-11-20 14:24:56,030|'e'|press
2021-11-20 14:24:56,127|'e'|release
2021-11-20 14:24:56,412|'z'|press
2021-11-20 14:24:56,506|'z'|release
2021-11-20 14:24:56,556|Key.space|press
2021-11-20 14:24:56,653|Key.space|release
2021-11-20 14:24:56,741|'c'|press
2021-11-20 14:24:56,862|'e'|press
2021-11-20 14:24:56,924|'c'|release
2021-11-20 14:24:56,954|'e'|release
2021-11-20 14:24:57,025|Key.space|press
2021-11-20 14:24:57,117|Key.space|release
2021-11-20 14:24:57,250|'v'|press
2021-11-20 14:24:57,342|'i'|press
2021-11-20 14:24:57,374|'v'|release
2021-11-20 14:24:57,404|'i'|release
2021-11-20 14:24:57,433|'e'|press
2021-11-20 14:24:57,526|'e'|release
2021-11-20 14:24:57,527|'u'|press
2021-11-20 14:24:57,590|'u'|release
2021-11-20 14:24:57,621|'x'|press
2021-11-20 14:24:57,714|'x'|release
2021-11-20 14:24:57,715|Key.space|press
2021-11-20 14:24:57,813|Key.space|release
2021-11-20 14:24:58,154|'w'|press
2021-11-20 14:24:58,246|'w'|release
2021-11-20 14:24:58,276|'h'|press
2021-11-20 14:24:58,339|'i'|press
2021-11-20 14:24:58,370|'h'|release
2021-11-20 14:24:58,399|'i'|release
2021-11-20 14:24:58,401|'s'|press
2021-11-20 14:24:58,493|'s'|release
2021-11-20 14:24:58,535|'k'|press
2021-11-20 14:24:58,629|'k'|release
2021-11-20 14:24:58,702|'y'|press
2021-11-20 14:24:58,797|'y'|release
2021-11-20 14:24:59,182|Key.space|press
2021-11-20 14:24:59,275|Key.space|release
2021-11-20 14:24:59,327|'a'|press
2021-11-20 14:24:59,391|'u'|press
2021-11-20 14:24:59,422|'a'|release
2021-11-20 14:24:59,516|'u'|release
2021-11-20 14:24:59,518|Key.space|press
2021-11-20 14:24:59,605|Key.space|release
2021-11-20 14:24:59,634|'j'|press
2021-11-20 14:24:59,698|'j'|release
2021-11-20 14:24:59,792|'u'|press
2021-11-20 14:24:59,856|'u'|release
2021-11-20 14:24:59,911|'g'|press
2021-11-20 14:25:00,005|'g'|release
2021-11-20 14:25:00,505|'e'|press
2021-11-20 14:25:00,598|'e'|release
2021-11-20 14:25:00,627|Key.space|press
2021-11-20 14:25:00,686|Key.space|release
2021-11-20 14:25:00,779|'b'|press
2021-11-20 14:25:00,871|'l'|press
2021-11-20 14:25:00,902|'b'|release
2021-11-20 14:25:00,958|'l'|release
2021-11-20 14:25:01,015|'o'|press
2021-11-20 14:25:01,049|'n'|press
2021-11-20 14:25:01,115|'o'|release
2021-11-20 14:25:01,177|'n'|release
2021-11-20 14:25:01,179|'d'|press
2021-11-20 14:25:01,265|'d'|release
2021-11-20 14:25:01,267|Key.space|press
2021-11-20 14:25:01,328|'q'|press
2021-11-20 14:25:01,356|Key.space|release
2021-11-20 14:25:01,418|'q'|release
2021-11-20 14:25:01,419|'u'|press
2021-11-20 14:25:01,480|'i'|press
2021-11-20 14:25:01,516|'u'|release
2021-11-20 14:25:01,574|Key.space|press
2021-11-20 14:25:01,607|'i'|release
2021-11-20 14:25:01,636|Key.space|release
2021-11-20 14:25:02,477|'f'|press
2021-11-20 14:25:02,572|'f'|release
2021-11-20 14:25:02,574|'u'|press
2021-11-20 14:25:02,661|'u'|release
2021-11-20 14:25:02,663|'m'|press
2021-11-20 14:25:02,724|'e'|press
2021-11-20 14:25:02,760|'m'|release
2021-11-20 14:25:02,818|'e'|release
2021-11-20 14:25:02,850|Key.shift|press
2021-11-20 14:25:02,908|'.'|press
2021-11-20 14:25:03,003|'.'|release
2021-11-20 14:25:03,062|Key.shift|release
2021-11-20 14:25:03,249|Key.enter|press
2021-11-20 14:25:03,344|Key.enter|release
2021-11-20 14:25:03,749|Key.shift|press
2021-11-20 14:25:03,962|'J'|press
2021-11-20 14:25:04,057|Key.shift|release
2021-11-20 14:25:04,060|'j'|release
2021-11-20 14:25:04,125|'o'|press
2021-11-20 14:25:04,219|'o'|release
2021-11-20 14:25:04,246|'e'|press
2021-11-20 14:25:04,307|'y'|press
2021-11-20 14:25:04,338|'e'|release
2021-11-20 14:25:04,368|'y'|release
2021-11-20 14:25:04,458|'u'|press
2021-11-20 14:25:04,521|'u'|release
2021-11-20 14:25:04,523|'x'|press
2021-11-20 14:25:04,587|'x'|release
2021-11-20 14:25:05,156|Key.backspace|press
2021-11-20 14:25:05,249|Key.backspace|release
2021-11-20 14:25:05,315|Key.backspace|press
2021-11-20 14:25:05,411|Key.backspace|release
2021-11-20 14:25:05,468|Key.backspace|press
2021-11-20 14:25:05,560|Key.backspace|release
2021-11-20 14:25:05,603|Key.backspace|press
2021-11-20 14:25:05,731|Key.backspace|release
2021-11-20 14:25:05,761|'y'|press
2021-11-20 14:25:05,821|'y'|release
2021-11-20 14:25:05,823|'e'|press
2021-11-20 14:25:05,909|'e'|release
2021-11-20 14:25:05,941|'u'|press
2021-11-20 14:25:06,000|'u'|release
2021-11-20 14:25:06,354|'x'|press
2021-11-20 14:25:06,449|'x'|release
2021-11-20 14:25:06,801|','|press
2021-11-20 14:25:06,829|Key.space|press
2021-11-20 14:25:06,923|','|release
2021-11-20 14:25:06,955|Key.space|release
2021-11-20 14:25:07,029|'i'|press
2021-11-20 14:25:07,061|'i'|release
2021-11-20 14:25:07,179|'v'|press
2021-11-20 14:25:07,272|'v'|release
2021-11-20 14:25:07,446|'r'|press
2021-11-20 14:25:07,539|'e'|press
2021-11-20 14:25:07,600|'r'|release
2021-11-20 14:25:07,660|'e'|release
2021-11-20 14:25:07,707|','|press
2021-11-20 14:25:07,793|Key.space|press
2021-11-20 14:25:07,863|','|release
2021-11-20 14:25:07,891|Key.space|release
2021-11-20 14:25:08,274|'f'|press
2021-11-20 14:25:08,337|'a'|press
2021-11-20 14:25:08,400|'f'|release
2021-11-20 14:25:08,459|'a'|release
2021-11-20 14:25:08,526|'t'|press
2021-11-20 14:25:08,619|'t'|release
2021-11-20 14:25:08,621|'i'|press
2021-11-20 14:25:08,680|'i'|release
2021-11-20 14:25:08,730|'g'|press
2021-11-20 14:25:08,819|'g'|release
2021-11-20 14:25:08,892|'u'|press
2021-11-20 14:25:08,956|'u'|release
2021-11-20 14:25:09,661|'é'|press
2021-11-20 14:25:09,753|'é'|release
2021-11-20 14:25:09,935|','|press
2021-11-20 14:25:10,023|Key.space|press
2021-11-20 14:25:10,085|','|release
2021-11-20 14:25:10,114|Key.space|release
2021-11-20 14:25:10,208|'l'|press
2021-11-20 14:25:10,302|'e'|press
2021-11-20 14:25:10,336|'l'|release
2021-11-20 14:25:10,394|'e'|release
2021-11-20 14:25:10,424|Key.space|press
2021-11-20 14:25:10,543|Key.space|release
2021-11-20 14:25:10,545|'n'|press
2021-11-20 14:25:10,611|'n'|release
2021-11-20 14:25:10,982|Key.backspace|press
2021-11-20 14:25:11,074|Key.backspace|release
2021-11-20 14:25:11,593|'n'|press
2021-11-20 14:25:11,686|'n'|release
2021-11-20 14:25:11,691|'e'|press
2021-11-20 14:25:11,747|'z'|press
2021-11-20 14:25:11,812|'e'|release
2021-11-20 14:25:11,871|'z'|release
2021-11-20 14:25:11,901|Key.space|press
2021-11-20 14:25:11,960|Key.space|release
2021-11-20 14:25:11,990|'q'|press
2021-11-20 14:25:12,057|'q'|release
2021-11-20 14:25:12,089|'u'|press
2021-11-20 14:25:12,149|'i'|press
2021-11-20 14:25:12,181|'u'|release
2021-11-20 14:25:12,239|'i'|release
2021-11-20 14:25:12,241|Key.space|press
2021-11-20 14:25:12,331|Key.space|release
2021-11-20 14:25:12,333|'p'|press
2021-11-20 14:25:12,421|'i'|press
2021-11-20 14:25:12,455|'p'|release
2021-11-20 14:25:12,513|'i'|release
2021-11-20 14:25:12,515|'q'|press
2021-11-20 14:25:12,635|'q'|release
2021-11-20 14:25:12,637|'u'|press
2021-11-20 14:25:12,695|'u'|release
2021-11-20 14:25:12,728|'e'|press
2021-11-20 14:25:12,827|'e'|release
2021-11-20 14:25:12,857|Key.space|press
2021-11-20 14:25:12,924|Key.space|release
2021-11-20 14:25:13,126|Key.backspace|press
2021-11-20 14:25:13,221|Key.backspace|release
2021-11-20 14:25:13,359|','|press
2021-11-20 14:25:13,447|Key.space|press
2021-11-20 14:25:13,479|','|release
2021-11-20 14:25:13,541|Key.space|release
2021-11-20 14:25:13,543|Key.shift|press
2021-11-20 14:25:13,841|'C'|press
2021-11-20 14:25:13,964|'C'|release
2021-11-20 14:25:13,994|Key.shift|release
2021-11-20 14:25:14,173|'l'|press
2021-11-20 14:25:14,235|'l'|release
2021-11-20 14:25:14,333|'o'|press
2021-11-20 14:25:14,426|'o'|release
2021-11-20 14:25:14,427|'w'|press
2021-11-20 14:25:14,522|'w'|release
2021-11-20 14:25:14,811|'n'|press
2021-11-20 14:25:14,899|Key.space|press
2021-11-20 14:25:14,964|'n'|release
2021-11-20 14:25:14,992|Key.space|release
2021-11-20 14:25:15,246|Key.shift|press
2021-11-20 14:25:15,427|'H'|press
2021-11-20 14:25:15,489|'H'|release
2021-11-20 14:25:15,519|Key.shift|release
2021-11-20 14:25:15,620|'a'|press
2021-11-20 14:25:15,712|'a'|release
2021-11-20 14:25:15,741|'r'|press
2021-11-20 14:25:15,833|'r'|release
2021-11-20 14:25:15,835|'y'|press
2021-11-20 14:25:15,959|Key.space|press
2021-11-20 14:25:15,991|'y'|release
2021-11-20 14:25:16,084|Key.space|release
2021-11-20 14:25:16,535|'s'|press
2021-11-20 14:25:16,625|'s'|release
2021-11-20 14:25:16,793|'k'|press
2021-11-20 14:25:16,884|'k'|release
2021-11-20 14:25:16,962|'i'|press
2021-11-20 14:25:17,029|'i'|release
2021-11-20 14:25:17,031|'e'|press
2021-11-20 14:25:17,123|'e'|release
2021-11-20 14:25:17,125|Key.space|press
2021-11-20 14:25:17,188|Key.space|release
2021-11-20 14:25:17,228|'d'|press
2021-11-20 14:25:17,290|'a'|press
