2021-11-03 10:07:12,784;Key.enter;release
2021-11-03 10:07:17,853;Key.shift;press
2021-11-03 10:07:18,116;'P';press
2021-11-03 10:07:18,235;'P';release
2021-11-03 10:07:18,252;Key.shift;release
2021-11-03 10:07:18,317;'o';press
2021-11-03 10:07:18,409;'o';release
2021-11-03 10:07:18,442;'r';press
2021-11-03 10:07:18,558;'r';release
2021-11-03 10:07:18,634;'t';press
2021-11-03 10:07:18,762;'t';release
2021-11-03 10:07:19,008;'e';press
2021-11-03 10:07:19,112;'e';release
2021-11-03 10:07:19,163;'z';press
2021-11-03 10:07:19,292;'z';release
2021-11-03 10:07:19,366;Key.space;press
2021-11-03 10:07:19,481;Key.space;release
2021-11-03 10:07:19,618;'c';press
2021-11-03 10:07:19,770;'c';release
2021-11-03 10:07:19,836;'e';press
2021-11-03 10:07:19,949;'e';release
2021-11-03 10:07:19,988;Key.space;press
2021-11-03 10:07:20,120;Key.space;release
2021-11-03 10:07:20,160;'v';press
2021-11-03 10:07:20,269;'i';press
2021-11-03 10:07:20,294;'v';release
2021-11-03 10:07:20,416;'i';release
2021-11-03 10:07:20,444;'e';press
2021-11-03 10:07:20,553;'e';release
2021-11-03 10:07:20,585;'u';press
2021-11-03 10:07:20,724;'u';release
2021-11-03 10:07:20,777;'x';press
2021-11-03 10:07:20,908;'x';release
2021-11-03 10:07:20,926;Key.space;press
2021-11-03 10:07:21,055;Key.space;release
2021-11-03 10:07:21,094;'w';press
2021-11-03 10:07:21,156;'h';press
2021-11-03 10:07:21,196;'w';release
2021-11-03 10:07:21,274;'h';release
2021-11-03 10:07:21,313;'i';press
2021-11-03 10:07:21,440;'i';release
2021-11-03 10:07:21,463;'s';press
2021-11-03 10:07:21,563;'s';release
2021-11-03 10:07:21,590;'k';press
2021-11-03 10:07:21,722;'k';release
2021-11-03 10:07:21,922;'y';press
2021-11-03 10:07:22,082;'y';release
2021-11-03 10:07:22,456;Key.space;press
2021-11-03 10:07:22,556;Key.space;release
2021-11-03 10:07:22,779;'a';press
2021-11-03 10:07:22,870;'u';press
2021-11-03 10:07:22,908;'a';release
2021-11-03 10:07:22,985;'u';release
2021-11-03 10:07:23,027;Key.space;press
2021-11-03 10:07:23,138;Key.space;release
2021-11-03 10:07:23,217;'j';press
2021-11-03 10:07:23,336;'j';release
2021-11-03 10:07:23,835;'u';press
2021-11-03 10:07:23,967;'u';release
2021-11-03 10:07:24,007;'g';press
2021-11-03 10:07:24,120;'e';press
2021-11-03 10:07:24,199;'g';release
2021-11-03 10:07:24,253;'e';release
2021-11-03 10:07:24,320;Key.space;press
2021-11-03 10:07:24,445;Key.space;release
2021-11-03 10:07:24,576;'b';press
2021-11-03 10:07:24,700;'b';release
2021-11-03 10:07:24,713;'l';press
2021-11-03 10:07:24,842;'l';release
2021-11-03 10:07:24,923;'o';press
2021-11-03 10:07:25,027;'o';release
2021-11-03 10:07:25,087;'n';press
2021-11-03 10:07:25,206;'n';release
2021-11-03 10:07:25,223;'d';press
2021-11-03 10:07:25,299;Key.space;press
2021-11-03 10:07:25,303;'d';release
2021-11-03 10:07:25,423;Key.space;release
2021-11-03 10:07:25,468;'q';press
2021-11-03 10:07:25,572;'u';press
2021-11-03 10:07:25,589;'q';release
2021-11-03 10:07:25,680;'u';release
2021-11-03 10:07:25,744;'i';press
2021-11-03 10:07:25,862;'i';release
2021-11-03 10:07:25,878;Key.space;press
2021-11-03 10:07:25,992;Key.space;release
2021-11-03 10:07:26,035;'f';press
2021-11-03 10:07:26,104;'u';press
2021-11-03 10:07:26,138;'f';release
2021-11-03 10:07:26,181;'u';release
2021-11-03 10:07:26,300;'m';press
2021-11-03 10:07:26,407;'m';release
2021-11-03 10:07:26,477;'e';press
2021-11-03 10:07:26,589;'e';release
2021-11-03 10:07:26,740;'.';press
2021-11-03 10:07:26,869;'.';release
2021-11-03 10:07:27,291;Key.enter;press
2021-11-03 10:07:27,394;Key.enter;release
2021-11-03 10:07:28,842;Key.shift;press
2021-11-03 10:07:29,332;Key.shift;press
2021-11-03 10:07:29,362;Key.shift;press
2021-11-03 10:07:29,371;'J';press
2021-11-03 10:07:29,511;'J';release
2021-11-03 10:07:29,613;'O';press
2021-11-03 10:07:29,755;'O';release
2021-11-03 10:07:29,785;Key.shift;release
2021-11-03 10:07:30,518;'y';press
2021-11-03 10:07:30,676;'y';release
2021-11-03 10:07:30,829;'e';press
2021-11-03 10:07:30,942;'e';release
2021-11-03 10:07:30,964;'u';press
2021-11-03 10:07:31,105;'u';release
2021-11-03 10:07:31,188;'x';press
2021-11-03 10:07:31,316;'x';release
2021-11-03 10:07:32,326;Key.backspace;press
2021-11-03 10:07:32,419;Key.backspace;release
2021-11-03 10:07:32,495;Key.backspace;press
2021-11-03 10:07:32,574;Key.backspace;release
2021-11-03 10:07:32,637;Key.backspace;press
2021-11-03 10:07:32,732;Key.backspace;release
2021-11-03 10:07:32,785;Key.backspace;press
2021-11-03 10:07:32,870;Key.backspace;release
2021-11-03 10:07:32,940;Key.backspace;press
2021-11-03 10:07:33,023;Key.backspace;release
2021-11-03 10:07:33,324;'o';press
2021-11-03 10:07:33,462;'o';release
2021-11-03 10:07:33,508;'y';press
2021-11-03 10:07:33,652;'y';release
2021-11-03 10:07:34,372;'e';press
2021-11-03 10:07:34,489;'e';release
2021-11-03 10:07:34,510;'u';press
2021-11-03 10:07:34,606;'u';release
2021-11-03 10:07:34,788;'x';press
2021-11-03 10:07:34,918;'x';release
2021-11-03 10:07:35,540;',';press
2021-11-03 10:07:35,674;',';release
2021-11-03 10:07:35,765;Key.space;press
2021-11-03 10:07:35,864;Key.space;release
2021-11-03 10:07:35,993;'i';press
2021-11-03 10:07:36,080;'i';release
2021-11-03 10:07:36,159;'v';press
2021-11-03 10:07:36,253;'v';release
2021-11-03 10:07:36,377;'r';press
2021-11-03 10:07:36,488;'e';press
2021-11-03 10:07:36,565;'r';release
2021-11-03 10:07:36,614;'e';release
2021-11-03 10:07:36,645;',';press
2021-11-03 10:07:36,783;',';release
2021-11-03 10:07:36,847;Key.space;press
2021-11-03 10:07:36,989;Key.space;release
2021-11-03 10:07:37,074;'f';press
2021-11-03 10:07:37,149;'a';press
2021-11-03 10:07:37,205;'f';release
2021-11-03 10:07:37,282;'a';release
