;Key;Shift;HD_mean;HD_std;DL_mean;DL_std
0;Key.shift;1;0.34831623931623934;0.21946908158205938;-0.1345042735042735;0.2202686636128057
1;'P';1;0.0914;0.018084247288731703;0.11359999999999999;0.03575248243129419
2;'o';0;0.09180821917808218;0.027583823696242436;0.10165753424657534;0.1730080542252203
3;'r';0;0.09522891566265058;0.027033814301568367;0.056373493975903605;0.11106762412492666
4;'t';0;0.08223636363636362;0.018584415402905965;0.10269090909090907;0.18140260324154647
5;'e';0;0.08992156862745095;0.027776484014469412;0.06993137254901961;0.16577502235068772
6;'z';0;0.10423255813953489;0.032769694741573686;0.12055813953488373;0.21268311424490371
7;Key.space;0;0.09566763848396499;0.01914027630997201;0.23431778425655975;0.3057084319557631
8;'c';0;0.10286206896551726;0.024283844690673694;0.027379310344827587;0.07729451682078657
9;'v';0;0.10983333333333332;0.025839354137095268;-0.007533333333333334;0.03700876772994325
10;'i';0;0.08657692307692308;0.025730117656845422;0.07596794871794871;0.1467595897304279
11;'u';0;0.09987755102040816;0.03457435996213978;0.01814285714285714;0.10449672064639322
12;'x';0;0.10627586206896551;0.02165544695630932;0.14182758620689653;0.20932223450864185
13;'w';0;0.1043478260869565;0.02368930908319868;0.12778260869565217;0.14542470232174665
14;'h';0;0.11926315789473685;0.025072194926825882;0.0021052631578947385;0.08429265731700672
15;'s';0;0.09453658536585365;0.02640500466326607;0.15541463414634146;0.23023169407484595
16;'k';0;0.08912;0.03414828839048891;0.09612;0.16094280226217014
17;'y';0;0.09393181818181819;0.021782392521643303;0.10949999999999999;0.22928064383275712
18;'a';0;0.1008198198198198;0.01911001727701719;0.06867567567567567;0.12359882519064422
19;'j';0;0.08131250000000001;0.01955031569438202;0.115875;0.16305515746212998
20;'g';0;0.1041875;0.02401749037160211;0.05493750000000001;0.1492686205930436
21;'b';0;0.10886206896551724;0.029524652630653608;-0.008034482758620691;0.07180552411686707
22;'l';0;0.09798780487804876;0.03223673631669576;0.08107317073170732;0.13871991262338348
23;'n';0;0.11244705882352941;0.029696704464559076;0.04284705882352941;0.16335508100867102
24;'d';0;0.11246031746031745;0.020955603407798434;0.04766666666666667;0.18535645624853717
25;'q';0;0.08768292682926829;0.018642253376291867;0.04726829268292682;0.13037020914944653
26;'f';0;0.09073333333333333;0.023949855021597848;0.0725;0.19343556205275872
27;'m';0;0.10542500000000002;0.017931658456484163;0.049975000000000006;0.0734290431300858
28;'.';1;0.08993548387096777;0.01994659884318703;6.778806451612904;22.796395495240958
29;Key.enter;0;0.09872;0.01236614733860146;2.57624;10.529325704070512
30;'K';1;0.07616666666666667;0.01491550274788692;0.14816666666666667;0.057080109398010864
31;Key.backspace;0;0.08499014778325123;0.0159867525662227;0.29635960591133004;0.2771710249783145
32;'J';1;0.0969285714285714;0.018964117567185686;0.14978571428571433;0.12090620837860144
33;',';0;0.1442857142857143;0.020202040713244586;-0.05016326530612245;0.016855141453556793
34;'é';0;0.09767857142857143;0.028325976936158;0.20082142857142854;0.2303291206654743
35;'p';0;0.0981290322580645;0.03061281824659336;0.031967741935483865;0.09113672248453816
36;'C';1;0.08733333333333333;0.03303365287433744;0.15616666666666668;0.17468392090350568
37;'F';1;0.126;0.0;0.149;0.0
38;'H';1;0.08130000000000001;0.020194306128213466;0.0807;0.04012742204527971
39;';0;0.08771875;0.01937981291028115;0.065625;0.11356076292012132
40;'M';1;0.07933333333333333;0.015376750126227726;0.07033333333333333;0.0489603013788836
41;'W';1;0.12366666666666666;0.01880898130622118;0.12188888888888888;0.03585602210211911
42;'Y';1;0.08700000000000001;0.011224972160321825;0.17483333333333337;0.0303832007676757
43;'B';1;0.09749999999999999;0.0247759964481754;0.0823;0.027817440572417872
44;'X';1;0.08928571428571429;0.015507733422985042;0.07985714285714286;0.08506036272037905
45;'è';0;0.07688888888888888;0.029868022455999642;0.037111111111111116;0.1094790131531503
46;'S';1;0.11228571428571428;0.015078028345095728;0.11157142857142856;0.04017766665647949
47;'-';0;0.07927272727272729;0.019315989180379266;0.5351818181818181;0.25542720656038126
48;'V';1;0.125;0.0;0.145;0.0
49;['^'];0;0.028;0.0;0.072;0.0
50;'L';1;0.0605;0.0015000000000000013;0.121;0.059
51;'&';0;0.03;0.0;-0.028;0.0
52;"'""'";0;0.091;0.0;0.05;0.0
53;Key.ctrl_l;0;0.599;0.0;-0.272;0.0
54;'\x13';0;0.123;0.0;;
